ID,Type,Published,Visibility in catalog,Is featured ?,SKU,,,Categories,Name,Description,product_open_price,variant_name_override,variant_description_override,Regular price,,variant_supplier,variant_supplier_code,variant_cost_price,attribute_1_name,attribute_1_value,attribute_2_name,attribute_2_value,attribute_3_name,attribute_3_value,Tax status,Brands,Stock,In stock?
,simple,1,visible,0,skincare20,8.8882E+12,OOS Indefinitely,Skincare,2-in-1 Sunblock & Moisturiser for Kids 50ml,,FALSE,,,17.9,,3rd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare19,,,Skincare,2-in-1 Sunblock & Skincare 50ml,,FALSE,,,17.9,,3rd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare15,,,Skincare,Aha-Bha Serum 30ml,,FALSE,,,33.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement13,,,Supplement,Beauty Health 90s,,FALSE,,,62.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement15,,,Supplement,Bone Health 90s,,FALSE,,,57.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement01,,,Supplement,Carb Blocker 50 tablets,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement02,,,Supplement,Colon Shield 51 tablets,,FALSE,,,62.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement03,,,Supplement,Complete Multivitamin 52 tablets,,FALSE,,,35.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement12,,,Supplement,Extra Stregth - Omega 3 Fish Oil 200s,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare12,,,Skincare,Eye Contour Serum 30ml,,FALSE,,,34.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare10,,,Skincare,Grounding Blend Oil 10ml,,FALSE,,,49.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare35,,,Skincare,Handmade Soap - Activated Charcoal 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare36,,,Skincare,Handmade Soap - Fresh Peppermint 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare21,,,Skincare,Handmade Soap - Hemp & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare22,,,Skincare,Handmade Soap - Honey & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare27,,,Skincare,Handmade Soap - Just Honey 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare23,,,Skincare,Handmade Soap - Lavender & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare28,,,Skincare,Handmade Soap - Lavender Rosewood 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare33,,,Skincare,Handmade Soap - Love Potion 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare24,,,Skincare,Handmade Soap - Oatmeal & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare25,,,Skincare,Handmade Soap - Pure Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare34,,,Skincare,Handmade Soap - Recovery Bar 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare29,,,Skincare,Handmade Soap - Seaweed & Aloe Scrub 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare30,,,Skincare,Handmade Soap - Vanilla Honey Scrub 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare31,,,Skincare,Handmade Soap - Walnut Scrub 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare32,,,Skincare,Handmade Soap - Working Man 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement16,,,Supplement,Joint Health 80s,,FALSE,,,61.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement10,,,Supplement,Liver Clean 59 tablets,,FALSE,,,54.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement04,,,Supplement,Liver Shield 53 tablets,,FALSE,,,63.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement05,,,Supplement,Magnesium Glycinate 54 tablets,,FALSE,,,32.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare16,,,Skincare,Moisturizing Face Serum 30ml,,FALSE,,,34.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare05,,,Skincare,Natural Aleppo Soap 40% Laurael 500ml,,FALSE,,,27.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare07,,,Skincare,Natural Body Lotion 500ml,,FALSE,,,21.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare02,,,Skincare,Natural Castile Soap Lavender 500ml,,FALSE,,,22.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare04,,,Skincare,Natural Castile Soap Orange 500ml,,FALSE,,,22.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare03,,,Skincare,Natural Castile Soap Tea Tree 500ml,,FALSE,,,22.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare17,,,Skincare,Natural Face Cleanser 200ml,,FALSE,,,27.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare09,,,Skincare,Natural Kids Shampoo 400ml,,FALSE,,,19.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare08,,,Skincare,Natural Leave-On Hair Conditioner 200ml,,FALSE,,,21.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare06,,,Skincare,Natural Massage Oil 150ml,,FALSE,,,18.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare01,,,Skincare,Natural Shampoo 500ml,,FALSE,,,25.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare26,,,Skincare,Natural Shampoo Bar 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement14,,,Supplement,Night Recharge 80s,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement08,,,Supplement,Power Brain Kids 57 tablets,,FALSE,,,37.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement09,,,Supplement,Power Immune Kids 60s,,FALSE,,,35.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement06,,,Supplement,Pre & Probiotics 55 tablets,,FALSE,,,35.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement07,,,Supplement,Probiotics Lactobacillus 56 tablets,,FALSE,,,32.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement18,,,Supplement,Prostate Health 60s,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare13,,,Skincare,Retinol Serum 30ml,,FALSE,,,33.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare18,,,Skincare,Sebocure Cream 30ml,,FALSE,,,15.9,,3rd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare11,,,Skincare,Soothing Blend Oil 10ml,,FALSE,,,49.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement17,,,Supplement,Testo Health 60s,,FALSE,,,57.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement11,,,Supplement,Turmeric Curcumin 60 tablets,,FALSE,,,32.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare14,,,Skincare,Vitamine C Oil 30ml,,FALSE,,,35.9,,1st supplier,,0,,,,,,,No Tax,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
